timestamp,room_id,device_id,type,seq,payload_json
2025-12-12 11:00:27,Room2,D001,PRESENCE,0,"{""status"":""OFFLINE""}"
2025-12-12 11:00:27,Room1,D001,PRESENCE,14,"{""status"":""ONLINE""}"
2025-12-12 11:00:27,Room1,D001,SENSOR,15,"{""temp"":24.1,""humidity"":46}"
2025-12-12 11:00:29,Room1,D001,PRESENCE,0,"{""status"":""OFFLINE""}"
2025-12-12 11:00:29,Room2,D001,PRESENCE,0,"{""status"":""OFFLINE""}"
2025-12-12 11:00:29,Room1,D001,PRESENCE,16,"{""status"":""ONLINE""}"
2025-12-12 11:00:31,Room1,D001,PRESENCE,0,"{""status"":""OFFLINE""}"
2025-12-12 11:00:31,Room2,D001,PRESENCE,0,"{""status"":""OFFLINE""}"
2025-12-12 11:00:31,Room1,D001,PRESENCE,17,"{""status"":""ONLINE""}"
2025-12-12 11:00:32,Room1,D001,SENSOR,18,"{""temp"":24.1,""humidity"":46}"
2025-12-12 11:00:33,Room1,D001,PRESENCE,0,"{""status"":""OFFLINE""}"
2025-12-12 11:00:33,Room2,D001,PRESENCE,0,"{""status"":""OFFLINE""}"
2025-12-12 11:00:33,Room1,D001,PRESENCE,19,"{""status"":""ONLINE""}"
2025-12-12 11:00:35,Room1,D001,PRESENCE,0,"{""status"":""OFFLINE""}"
2025-12-12 11:00:35,Room2,D001,PRESENCE,0,"{""status"":""OFFLINE""}"
2025-12-12 11:00:35,Room1,D001,PRESENCE,20,"{""status"":""ONLINE""}"
2025-12-12 11:00:37,Room1,D001,PRESENCE,0,"{""status"":""OFFLINE""}"
2025-12-12 11:00:37,Room2,D001,PRESENCE,0,"{""status"":""OFFLINE""}"
2025-12-12 11:00:37,Room1,D001,PRESENCE,21,"{""status"":""ONLINE""}"
2025-12-12 11:00:37,Room1,D001,SENSOR,22,"{""temp"":24.1,""humidity"":46}"
2025-12-12 11:00:39,Room1,D001,PRESENCE,0,"{""status"":""OFFLINE""}"
2025-12-12 11:00:39,Room2,D001,PRESENCE,0,"{""status"":""OFFLINE""}"
2025-12-12 11:00:39,Room1,D001,PRESENCE,23,"{""status"":""ONLINE""}"
2025-12-12 11:00:41,Room1,D001,PRESENCE,0,"{""status"":""OFFLINE""}"
2025-12-12 11:00:41,Room2,D001,PRESENCE,0,"{""status"":""OFFLINE""}"
2025-12-12 11:00:41,Room1,D001,PRESENCE,24,"{""status"":""ONLINE""}"
2025-12-12 11:00:42,Room1,D001,SENSOR,25,"{""temp"":24.1,""humidity"":46}"
2025-12-12 11:00:43,Room1,D001,PRESENCE,0,"{""status"":""OFFLINE""}"
2025-12-12 11:00:43,Room2,D001,PRESENCE,0,"{""status"":""OFFLINE""}"
2025-12-12 11:00:43,Room1,D001,PRESENCE,26,"{""status"":""ONLINE""}"
2025-12-12 11:00:45,Room1,D001,PRESENCE,0,"{""status"":""OFFLINE""}"
2025-12-12 11:00:45,Room2,D001,PRESENCE,0,"{""status"":""OFFLINE""}"
2025-12-12 11:00:45,Room1,D001,PRESENCE,27,"{""status"":""ONLINE""}"
2025-12-12 11:00:45,Room1,D001,PRESENCE,0,"{""status"":""OFFLINE""}"
2025-12-12 11:00:45,Room2,D001,PRESENCE,0,"{""status"":""OFFLINE""}"
2025-12-12 11:00:45,Room1,D001,PRESENCE,28,"{""status"":""ONLINE""}"
2025-12-12 11:00:47,Room1,D001,PRESENCE,0,"{""status"":""OFFLINE""}"
2025-12-12 11:00:47,Room2,D001,PRESENCE,0,"{""status"":""OFFLINE""}"
2025-12-12 11:00:47,Room1,D001,PRESENCE,29,"{""status"":""ONLINE""}"
2025-12-12 11:00:47,Room1,D001,SENSOR,30,"{""temp"":24.1,""humidity"":46}"
2025-12-12 11:00:49,Room1,D001,PRESENCE,0,"{""status"":""OFFLINE""}"
2025-12-12 11:00:49,Room2,D001,PRESENCE,0,"{""status"":""OFFLINE""}"
2025-12-12 11:00:49,Room1,D001,PRESENCE,31,"{""status"":""ONLINE""}"
2025-12-12 11:00:51,Room1,D001,PRESENCE,0,"{""status"":""OFFLINE""}"
2025-12-12 11:00:51,Room2,D001,PRESENCE,0,"{""status"":""OFFLINE""}"
2025-12-12 11:00:51,Room1,D001,PRESENCE,32,"{""status"":""ONLINE""}"
2025-12-12 11:00:53,Room1,D001,PRESENCE,0,"{""status"":""OFFLINE""}"
2025-12-12 11:01:08,Room2,D002,PRESENCE,1,"{""status"":""ONLINE""}"
2025-12-12 11:01:10,Room2,D002,SENSOR,2,"{""temp"":24.1,""humidity"":45}"
2025-12-12 11:01:15,Room2,D002,SENSOR,3,"{""temp"":24.1,""humidity"":46}"
2025-12-12 11:01:20,Room2,D002,SENSOR,4,"{""temp"":24.1,""humidity"":46}"
2025-12-12 11:01:24,Room2,D001,SENSOR,40,"{""temp"":24.7,""humidity"":47}"
2025-12-12 11:01:25,Room2,D002,SENSOR,5,"{""temp"":24.1,""humidity"":46}"
2025-12-12 11:01:29,Room2,D001,SENSOR,41,"{""temp"":24.7,""humidity"":47}"
2025-12-12 11:01:30,Room2,D002,SENSOR,6,"{""temp"":24.1,""humidity"":46}"
2025-12-12 11:01:34,Room2,D001,SENSOR,42,"{""temp"":24.7,""humidity"":47}"
2025-12-12 11:01:35,Room2,D002,SENSOR,7,"{""temp"":24.1,""humidity"":46}"
2025-12-12 11:01:39,Room2,D001,SENSOR,43,"{""temp"":24.7,""humidity"":47}"
2025-12-12 11:01:40,Room2,D002,SENSOR,8,"{""temp"":24.1,""humidity"":46}"
2025-12-12 11:01:44,Room2,D001,SENSOR,44,"{""temp"":24.6,""humidity"":47}"
2025-12-12 11:01:45,Room2,D002,SENSOR,9,"{""temp"":24.1,""humidity"":46}"
2025-12-12 11:01:49,Room2,D001,SENSOR,45,"{""temp"":24.6,""humidity"":47}"
2025-12-12 11:01:50,Room2,D002,SENSOR,10,"{""temp"":24,""humidity"":46}"
2025-12-12 11:01:54,Room2,D001,SENSOR,46,"{""temp"":24.6,""humidity"":47}"
2025-12-12 11:01:55,Room2,D002,SENSOR,11,"{""temp"":24.1,""humidity"":46}"
2025-12-12 11:01:59,Room2,D001,SENSOR,47,"{""temp"":24.6,""humidity"":47}"
2025-12-12 11:02:00,Room2,D002,SENSOR,12,"{""temp"":24,""humidity"":46}"
